"date_sk","date","year","trimestre","month","day","version","date_from","date_to"
212,"1997-01-27 00:00:00",1997,1,1,27,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
213,"1997-01-28 00:00:00",1997,1,1,28,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
214,"1997-01-29 00:00:00",1997,1,1,29,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
215,"1997-01-30 00:00:00",1997,1,1,30,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
216,"1997-01-31 00:00:00",1997,1,1,31,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
217,"1997-02-01 00:00:00",1997,1,2,1,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
218,"1997-02-02 00:00:00",1997,1,2,2,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
219,"1997-02-03 00:00:00",1997,1,2,3,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
220,"1997-02-04 00:00:00",1997,1,2,4,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
221,"1997-02-05 00:00:00",1997,1,2,5,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
222,"1997-02-06 00:00:00",1997,1,2,6,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
223,"1997-02-07 00:00:00",1997,1,2,7,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
224,"1997-02-08 00:00:00",1997,1,2,8,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
225,"1997-02-09 00:00:00",1997,1,2,9,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
226,"1997-02-10 00:00:00",1997,1,2,10,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
227,"1997-02-11 00:00:00",1997,1,2,11,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
228,"1997-02-12 00:00:00",1997,1,2,12,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
229,"1997-02-13 00:00:00",1997,1,2,13,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
230,"1997-02-14 00:00:00",1997,1,2,14,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
231,"1997-02-15 00:00:00",1997,1,2,15,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
232,"1997-02-16 00:00:00",1997,1,2,16,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
233,"1997-02-17 00:00:00",1997,1,2,17,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
234,"1997-02-18 00:00:00",1997,1,2,18,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
235,"1997-02-19 00:00:00",1997,1,2,19,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
236,"1997-02-20 00:00:00",1997,1,2,20,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
237,"1997-02-21 00:00:00",1997,1,2,21,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
238,"1997-02-22 00:00:00",1997,1,2,22,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
239,"1997-02-23 00:00:00",1997,1,2,23,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
240,"1997-02-24 00:00:00",1997,1,2,24,1,"1900-01-01 00:00:00","2199-12-31 23:59:59"
